Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-1-1	Boston College	96	Syracuse	81	
2017-1-1	Butler	78	Providence	61	
2017-1-1	University of California	81	Arizona State	65	
2017-1-1	Cincinnati	92	Tulane	56	
2017-1-1	St. John's (NY)	79	DePaul	73	
2017-1-1	Evansville	70	Northern Iowa	58	
2017-1-1	Illinois	75	Ohio State	70	
2017-1-1	Iowa	86	Michigan	83	
2017-1-1	Illinois State	81	Loyola (IL)	59	
2017-1-1	Nebraska	67	Maryland	65	
2017-1-1	Middle Tennessee	60	Alabama-Birmingham	49	
2017-1-1	Minnesota	91	Purdue	82	
2017-1-1	Penn State	60	Rutgers	47	
2017-1-1	New Mexico	68	San Diego State	62	
2017-1-1	Seton Hall	69	Marquette	66	
2017-1-1	Southern Illinois	83	Drake	69	
2017-1-1	Louisiana Tech	79	Southern Miss	55	
2017-1-1	Arizona	91	Stanford	52	
2017-1-1	UTSA	67	UTEP	55	
2017-1-1	Utah	76	Colorado	60	
2017-1-1	Washington State	79	Washington	74	
2017-1-1	Wichita State	100	Bradley	66	
2017-1-10	Florida	80	Alabama	67	
2017-1-10	Mississippi State	84	Arkansas	78	
2017-1-10	Ball State	85	Miami (OH)	74	
2017-1-10	Eastern Michigan	81	Bowling Green State	53	
2017-1-10	Ohio	74	Buffalo	72	
2017-1-10	Akron	89	Central Michigan	85	
2017-1-10	DePaul	64	Providence	63	
2017-1-10	Canisius	86	Fairfield	72	
2017-1-10	Morgan State	62	Florida A&M;	59	
2017-1-10	Florida State	88	Duke	72	
2017-1-10	Green Bay	80	Northern Kentucky	71	
2017-1-10	Harvard	70	McGill	45	
2017-1-10	Jacksonville State	81	Fort Valley State	69	
2017-1-10	Northern Illinois	74	Kent State	70	
2017-1-10	Manhattan	78	Niagara	69	
2017-1-10	Maryland	75	Indiana	72	
2017-1-10	Auburn	77	Missouri	72	
2017-1-10	UNLV	71	New Mexico	66	
2017-1-10	Delaware State	69	North Carolina Central	68	
2017-1-10	Kansas	81	Oklahoma	70	
2017-1-10	George Mason	75	St. Joseph's	67	
2017-1-10	San Diego State	76	San Jose State	61	
2017-1-10	Southeast Missouri State	83	Tennessee Tech	78	
2017-1-10	Texas Tech	66	Kansas State	65	
2017-1-10	Kentucky	87	Vanderbilt	81	
2017-1-10	Villanova	79	Xavier	54	
2017-1-10	Virginia Tech	83	Syracuse	73	
2017-1-10	West Virginia	89	Baylor	68	
2017-1-10	Western Michigan	90	Toledo	74	
2017-1-11	Air Force	81	Fresno State	72	
2017-1-11	New Hampshire	75	Albany (NY)	67	
2017-1-11	Colgate	79	Army	76	
2017-1-11	Vermont	67	Binghamton	50	
2017-1-11	Boston College	74	North Carolina State	66	
2017-1-11	Boston University	76	American	66	
2017-1-11	Bradley	72	Northern Iowa	61	
2017-1-11	Lehigh	82	Bucknell	71	
2017-1-11	Charleston Southern	70	Radford	64	
2017-1-11	Chattanooga	83	Citadel	73	
2017-1-11	UConn	73	Temple	59	
2017-1-11	Creighton	75	Butler	64	
2017-1-11	Fordham	60	Davidson	54	
2017-1-11	Denver	84	Western Illinois	70	
2017-1-11	Drake	87	Indiana State	70	
2017-1-11	Duquesne	73	Saint Louis	66	
2017-1-11	Houston	74	East Carolina	58	
2017-1-11	Campbell	76	Gardner-Webb	60	
2017-1-11	UMBC	84	Hartford	68	
2017-1-11	Liberty	62	High Point	58	
2017-1-11	Holy Cross	71	Lafayette	54	
2017-1-11	Illinois	85	Michigan	69	
2017-1-11	Nebraska-Omaha	79	IUPUI	71	
2017-1-11	Alcorn State	63	Jackson State	50	
2017-1-11	Lamar	87	Incarnate Word	72	
2017-1-11	Cal State Northridge	89	Long Beach State	82	
2017-1-11	Louisville	85	Pitt	80	
2017-1-11	Navy	75	Loyola (MD)	62	
2017-1-11	Maine	73	UMass-Lowell	71	
2017-1-11	Marquette	89	Seton Hall	86	
2017-1-11	UMass	67	Dayton	55	
2017-1-11	Michigan State	65	Minnesota	47	
2017-1-11	Georgia	69	Ole Miss	47	
2017-1-11	Missouri State	55	Evansville	51	
2017-1-11	Norfolk State	80	Savannah State	76	
2017-1-11	North Carolina-Asheville	89	Longwood	68	
2017-1-11	North Carolina Central	69	Maryland-Eastern Shore	52	
2017-1-11	Iowa State	96	Oklahoma State	86	
2017-1-11	Richmond	78	St. Bonaventure	61	
2017-1-11	Mercer	68	Samford	65	
2017-1-11	North Dakota State	70	South Dakota	69	
2017-1-11	Tulane	82	South Florida	67	
2017-1-11	Illinois State	60	Southern Illinois	53	
2017-1-11	Stephen F. Austin	79	Texas A&M-Corpus; Christi	46	
2017-1-11	South Carolina	70	Tennessee	60	
2017-1-11	Texas Christian	64	Texas	61	
2017-1-11	Texas A&M;	92	LSU	62	
2017-1-11	Tulsa	81	Memphis	71	
