Date	Team	Player	IsStarter	MP	FG	FGA	FGpct	2P	2PA	2Ppct	3P	3PA	3Ppct	FT	FTA	FTpct	ORB	DRB	TRB	AST	STL	BLK	TOV	PF	PTS
2017-02-04	Abilene Christian	Dakarai Henderson	Starter	31	7	14	.500	4	5	.800	3	9	.333	3	5	.600	0	0	0	1	1	0	2	1	20	
2017-02-04	Abilene Christian	John Dewey III	Starter	30	2	8	.250	1	7	.143	1	1	1.000	1	2	.500	0	6	6	3	1	0	4	5	6	
2017-02-04	Abilene Christian	Aurimas Majauskas	Starter	29	5	8	.625	4	7	.571	1	1	1.000	6	9	.667	5	1	6	1	1	0	1	3	17	
2017-02-04	Abilene Christian	Paul Baxter	Starter	26	5	7	.714	4	6	.667	1	1	1.000	1	6	.167	1	2	3	1	1	1	3	5	12	
2017-02-04	Abilene Christian	Torry Butler	Starter	14	0	1	.000	0	0		0	1	.000	0	0		0	1	1	1	0	0	1	3	0	
2017-02-04	Abilene Christian	Christopher Galbreath Jr.	Reserve	16	1	2	.500	1	2	.500	0	0		0	1	.000	0	0	0	1	0	0	3	4	2	
2017-02-04	Abilene Christian	Jovante' Spivey	Reserve	14	1	2	.500	1	2	.500	0	0		2	2	1.000	1	2	3	1	0	0	0	1	4	
2017-02-04	Abilene Christian	Albert Almanza	Reserve	14	0	6	.000	0	2	.000	0	4	.000	0	0		0	3	3	0	0	0	0	0	0	
2017-02-04	Abilene Christian	Josh Delaney	Reserve	11	0	2	.000	0	0		0	2	.000	0	0		0	1	1	1	0	0	1	3	0	
2017-02-04	Abilene Christian	Jamal Williams	Reserve	11	0	1	.000	0	1	.000	0	0		0	0		0	1	1	1	1	0	1	0	0	
2017-02-04	Abilene Christian	Cam Delaney	Reserve	4	1	2	.500	1	2	.500	0	0		1	1	1.000	0	0	0	0	1	0	1	0	3	
2017-02-04	Sam Houston State	Jaylen Franklin	Starter	39	6	11	.545	6	8	.750	0	3	.000	7	11	.636	0	3	3	5	1	0	3	1	19	
2017-02-04	Sam Houston State	Jaren Lewis	Starter	32	3	6	.500	3	5	.600	0	1	.000	8	8	1.000	3	7	10	1	1	0	3	1	14	
2017-02-04	Sam Houston State	Isaiah Tripp	Starter	30	1	5	.200	1	3	.333	0	2	.000	8	8	1.000	0	2	2	1	0	0	0	2	10	
2017-02-04	Sam Houston State	Hayden Howell	Starter	20	1	1	1.000	1	1	1.000	0	0		1	1	1.000	1	1	2	0	0	0	3	4	3	
2017-02-04	Sam Houston State	Jalone Friday	Starter	13	0	4	.000	0	0		0	4	.000	2	2	1.000	0	2	2	0	0	3	2	5	2	
2017-02-04	Sam Houston State	Drake Green	Reserve	21	1	3	.333	0	1	.000	1	2	.500	0	0		1	2	3	0	0	1	1	3	3	
2017-02-04	Sam Houston State	B.J. Maxwell	Reserve	17	3	5	.600	2	2	1.000	1	3	.333	0	0		0	5	5	0	1	1	2	2	7	
2017-02-04	Sam Houston State	Hayden Farquhar	Reserve	15	4	6	.667	0	0		4	6	.667	1	2	.500	0	1	1	1	2	0	1	5	13	
2017-02-04	Sam Houston State	Trey Lenox	Reserve	8	0	0		0	0		0	0		0	0		0	1	1	0	1	0	2	2	0	
