GameID,TeamName,NextGameID
20000,Kansas State,21000
20000,Wake Forest,21000
20001,Mount St. Mary's,21000
20001,New Orleans,21000
20002,North Carolina Central,21001
20002,UC-Davis,21001
20003,Providence,21001
20003,USC,21001
21000,Villanova,22000
21001,Virginia Tech,22000
21001,Wisconsin,22000
21002,North Carolina-Wilmington,22001
21002,Virginia,22001
21003,ETSU,22001
21003,Florida,22001
21004,SMU,22002
21005,Baylor,22002
21005,New Mexico State,22002
21006,Marquette,22003
21006,South Carolina,22003
21007,Duke,22003
21007,Troy,22003
21008,Gonzaga,22004
21008,South Dakota State,22004
21009,Northwestern,22004
21009,Vanderbilt,22004
21010,Notre Dame,22005
21010,Princeton,22005
21011,Bucknell,22005
21011,West Virginia,22005
21012,Maryland,22006
21012,Xavier,22006
21013,Florida Gulf Coast,22006
21013,Florida State,22006
21014,Saint Mary's (CA),22007
21014,VCU,22007
21015,Arizona,22007
21015,North Dakota,22007
21016,Kansas,22008
21017,Miami (FL),22008
21017,Michigan State,22008
21018,Iowa State,22009
21018,Nevada,22009
21019,Purdue,22009
21019,Vermont,22009
21020,Creighton,22010
21020,Rhode Island,22010
21021,Iona,22010
21021,Oregon,22010
21022,Michigan,22011
21022,Oklahoma State,22011
21023,Jacksonville State,22011
21023,Louisville,22011
21024,Texas Southern,22012
21024,UNC,22012
21025,Arkansas,22012
21025,Seton Hall,22012
21026,Middle Tennessee,22013
21026,Minnesota,22013
21027,Butler,22013
21027,Winthrop,22013
21028,Cincinnati,22014
21029,Kent State,22014
21029,UCLA,22014
21030,Dayton,22015
21030,Wichita State,22015
21031,Kentucky,22015
21031,Northern Kentucky,22015
