Date	WinningTeam	WinningScore	LosingTeam	LosingScore
2017-2-1	Abilene Christian	70	New Orleans	69	
2017-2-1	Albany (NY)	90	UMass-Lowell	77	
2017-2-1	Arkansas	87	Alabama	68	
2017-2-1	Army	80	Lafayette	73	
2017-2-1	Stetson	76	Bethune-Cookman	67	
2017-2-1	UMBC	92	Binghamton	74	
2017-2-1	Bucknell	80	American	60	
2017-2-1	Cal State Northridge	108	Long Beach State	98	
2017-2-1	Gardner-Webb	80	Campbell	68	
2017-2-1	Clemson	74	Georgia Tech	62	
2017-2-1	Delaware State	82	North Carolina A&T;	65	
2017-2-1	Wichita State	77	Drake	69	
2017-2-1	St. Bonaventure	71	Duquesne	64	
2017-2-1	Austin Peay	83	Eastern Kentucky	81	
2017-2-1	Fresno State	73	Air Force	64	
2017-2-1	Hampton	66	Maryland-Eastern Shore	65	
2017-2-1	Holy Cross	56	Colgate	50	
2017-2-1	Houston	82	UCF	64	
2017-2-1	Illinois State	57	Northern Iowa	51	
2017-2-1	Indiana	110	Penn State	102	
2017-2-1	Indiana State	85	Evansville	84	
2017-2-1	IUPUI	86	North Dakota State	81	
2017-2-1	Jacksonville State	74	Southeast Missouri State	62	
2017-2-1	Kansas	73	Baylor	68	
2017-2-1	Texas Christian	86	Kansas State	80	
2017-2-1	La Salle	88	UMass	78	
2017-2-1	High Point	92	Longwood	68	
2017-2-1	South Carolina	88	LSU	63	
2017-2-1	Loyola (MD)	62	Lehigh	60	
2017-2-1	Florida State	75	Miami (FL)	57	
2017-2-1	Nebraska-Omaha	91	South Dakota	83	
2017-2-1	New Mexico	80	UNLV	77	
2017-2-1	North Carolina-Asheville	91	Charleston Southern	73	
2017-2-1	Syracuse	100	North Carolina State	93	
2017-2-1	Villanova	66	Providence	57	
2017-2-1	Purdue	80	Northwestern	59	
2017-2-1	Winthrop	81	Radford	65	
2017-2-1	Saint Louis	76	George Mason	74	
2017-2-1	South Dakota State	98	Western Illinois	65	
2017-2-1	Southeastern Louisiana	72	Nicholls State	44	
2017-2-1	Southern Illinois	85	Bradley	65	
2017-2-1	SMU	86	East Carolina	46	
2017-2-1	St. John's (NY)	86	Marquette	72	
2017-2-1	Stony Brook	64	New Hampshire	61	
2017-2-1	UT-Martin	75	Tennessee Tech	46	
2017-2-1	Texas	62	Texas Tech	58	
2017-2-1	Texas A&M-Corpus; Christi	90	Houston Baptist	79	
2017-2-1	Cincinnati	57	Tulsa	55	
2017-2-1	Utah State	74	Nevada	57	
2017-2-1	Vermont	74	Maine	53	
2017-2-1	Virginia	71	Virginia Tech	48	
2017-2-1	VCU	81	Richmond	74	
2017-2-1	USC	82	Washington	74	
2017-2-1	UCLA	95	Washington State	79	
2017-2-1	Xavier	72	Seton Hall	70	
2017-2-10	Ohio	79	Ball State	77	
2017-2-10	Harvard	87	Brown	74	
2017-2-10	Niagara	94	Canisius	81	
2017-2-10	Oakland	89	Detroit	80	
2017-2-10	Akron	87	Eastern Michigan	76	
2017-2-10	Monmouth	62	Manhattan	58	
2017-2-10	Penn	70	Columbia	62	
2017-2-10	Princeton	69	Cornell	60	
2017-2-10	Dayton	75	Rhode Island	74	
2017-2-10	Yale	73	Dartmouth	64	
2017-2-11	Abilene Christian	76	Northwestern State	72	
2017-2-11	Kentucky	67	Alabama	58	
2017-2-11	Old Dominion	83	Alabama-Birmingham	62	
2017-2-11	Alabama State	97	Alabama A&M;	89	
2017-2-11	Appalachian State	77	Georgia State	72	
2017-2-11	Arizona	62	University of California	57	
2017-2-11	Arizona State	75	Stanford	69	
2017-2-11	Arkansas-Pine Bluff	68	Southern	61	
2017-2-11	American	61	Army	58	
2017-2-11	Baylor	70	Texas Christian	52	
2017-2-11	Boise State	76	Air Force	66	
2017-2-11	Boston University	78	Loyola (MD)	63	
2017-2-11	Buffalo	88	Bowling Green State	74	
2017-2-11	Dartmouth	77	Brown	74	
2017-2-11	Bryant	80	St. Francis (NY)	69	
2017-2-11	Cal State Bakersfield	75	Texas-Rio Grande Valley	53	
2017-2-11	Cal State Fullerton	74	Long Beach State	69	
2017-2-11	Cal State Northridge	77	UCSB	55	
2017-2-11	UC-Davis	77	UC-Riverside	63	
2017-2-11	Central Arkansas	106	Nicholls State	83	
2017-2-11	UConn	66	UCF	63	
2017-2-11	Utah Valley	87	Chicago State	54	
2017-2-11	Coastal Carolina	82	Georgia Southern	70	
2017-2-11	Colorado State	78	Fresno State	62	
2017-2-11	Coppin State	76	Bethune-Cookman	72	
2017-2-11	Creighton	93	DePaul	58	
2017-2-11	Towson	69	Drexel	65	
2017-2-11	Duke	64	Clemson	62	
2017-2-11	ETSU	88	Mercer	71	
2017-2-11	Eastern Illinois	86	Southeast Missouri State	80	
2017-2-11	Morehead State	67	Eastern Kentucky	62	
2017-2-11	Elon	77	North Carolina-Wilmington	76	
2017-2-11	Florida	71	Texas A&M;	62	
2017-2-11	Rice	81	Florida Atlantic	75	
2017-2-11	Florida Gulf Coast	75	Kennesaw State	63	
2017-2-11	Florida International	90	North Texas	71	
2017-2-11	Furman	90	Samford	73	
2017-2-11	George Mason	73	Fordham	67	
2017-2-11	George Washington	76	St. Bonaventure	70	
2017-2-11	Georgetown	80	Marquette	62	
2017-2-11	Georgia Tech	65	Boston College	54	
2017-2-11	Texas Southern	77	Grambling	70	
2017-2-11	Grand Canyon	83	New Mexico State	71	
2017-2-11	Hampton	75	Howard	61	
2017-2-11	UC-Irvine	72	Hawaii	58	
2017-2-11	Radford	69	High Point	68	
2017-2-11	Houston Baptist	94	Lamar	87	
2017-2-11	Penn State	83	Illinois	70	
2017-2-11	Cleveland State	66	UIC	63	
2017-2-11	Illinois State	64	Bradley	50	
2017-2-11	Indiana State	84	Drake	60	
2017-2-11	Iowa State	80	Oklahoma	64	
2017-2-11	IPFW	108	Nebraska-Omaha	101	
2017-2-11	Oral Roberts	74	IUPUI	68	
2017-2-11	Jackson State	78	Prairie View	69	
2017-2-11	Jacksonville	76	NJIT	73	
2017-2-11	Jacksonville State	63	Tennessee State	57	
2017-2-11	Delaware	58	James Madison	57	
2017-2-11	Richmond	64	La Salle	52	
2017-2-11	Liberty	76	Charleston Southern	69	
2017-2-11	LIU-Brooklyn	75	Fairleigh Dickinson	69	
2017-2-11	North Carolina-Asheville	91	Longwood	69	
2017-2-11	Troy	100	Louisiana-Lafayette	88	
2017-2-11	South Alabama	66	Louisiana-Monroe	63	
2017-2-11	Arkansas	78	LSU	70	
2017-2-11	Louisville	71	Miami (FL)	66	
2017-2-11	Loyola Marymount	66	Portland	60	
2017-2-11	Siena	84	Marist	77	
2017-2-11	Maryland	86	Ohio State	77	
2017-2-11	Texas A&M-Corpus; Christi	73	McNeese State	66	
